sentence1,sentence2,label
 It's bad to cut off your parents for no reason.,They don't care about you.,0
 It's bad to cut off your parents for no reason.,They want to help you out.,1
 It's bad to cut off your parents for no reason.,Your parents love you.,1
 It's bad to cut off your parents for no reason.,they have been abusive in the past.,0
 It's bad to cut off your parents for no reason.,they have too many demands of you.,1
 It's bad to cut off your parents for no reason.,Being around them makes you uncomfortable because they always fight,0
 It's bad to cut off your parents for no reason.,They are always loving and supportive of you,1
 It's bad to cut off your parents for no reason.,They have said something that requires you to immediately address it,0
 It's bad to cut off your parents for no reason.,They are talking in a respectful manner,1
 You have right to date whomever you please.,You are too young to date.,0
 You have right to date whomever you please.,You're a single adult.,1
 You have right to date whomever you please.,They are a nun.,0
 You have right to date whomever you please.,They gave you a heart for Valentine's Day.,1
 You have right to date whomever you please.,you are a teenager and your parents forbid dating.,0
 You have right to date whomever you please.,you are a grown person.,1
 You have right to date whomever you please.,You are under age and your parents do not like your date,0
 You have right to date whomever you please.,You are an adult and are independent,1
 You have right to date whomever you please.,You are currently married.,0
 You have right to date whomever you please.,You desire to find love.,1
 It is not acceptable to joke about hurting someone.,You are bluffing to prevent them from hurting you or someone else.,0
 It is not acceptable to joke about hurting someone.,They are a vulnerable member of society.,1
 It is not acceptable to joke about hurting someone.,You are a comedian,0
 It is not acceptable to joke about hurting someone.,It is triggering to abuse victims,1
 It is not acceptable to joke about hurting someone.,you did not hurt them intentionally while playing.,0
 It is not acceptable to joke about hurting someone.,they are hospitalized due to you hurting them.,1
 It is not acceptable to joke about hurting someone.,You are a comedian.,0
 It is not acceptable to joke about hurting someone.,They were the victim of an assault.,1
 It is not acceptable to joke about hurting someone.,The person has been physically hurt about someone in the past.,1
 It is rude to make someone else's event about you.,They told you that you could,0
 It is rude to make someone else's event about you.,It is their wedding,1
 It is rude to make someone else's event about you.,You've just been proposed to.,0
 It is rude to make someone else's event about you.,You're at a wedding.,1
 It is rude to make someone else's event about you.,You are taking back an event that was supposed to be about you to begin with.,0
 It is rude to make someone else's event about you.,The person has done charitable and self less acts of giving.,1
 It is rude to make someone else's event about you.,You saved someone's life at the event.,0
 It is rude to make someone else's event about you.,The event is a wedding.,1
 It is rude to make someone else's event about you.,it is a wedding or a funeral.,1
 You should try to have stable relationships with others.,You are about to die.,0
 You should try to have stable relationships with others.,You want to create community around yourself.,1
 You should try to have stable relationships with others.,They are toxic to your mental health.,0
 You should try to have stable relationships with others.,They are your partner's family.,1
 You should try to have stable relationships with others.,they are complete strangers.,0
 You should try to have stable relationships with others.,they are your very own roommates who you have to see all the time.,1
 You should try to have stable relationships with others.,You are anti-social and prefer none.,0
 You should try to have stable relationships with others.,"You are a mature, competent adult.",1
 You should try to have stable relationships with others.,It involves drug dealers.,0
 You should try to have stable relationships with others.,It involves coworkers.,1
 It is okay to be uncomfortable with your partner spending time with a member of the opposite sex.,"You and your partner are homosexual, then there is probably nothing to worry about.",0
 It is okay to be uncomfortable with your partner spending time with a member of the opposite sex.,You have an intuitive feeling something is  going on.,1
 It is okay to be uncomfortable with your partner spending time with a member of the opposite sex.,It is their sibling.,0
 It is okay to be uncomfortable with your partner spending time with a member of the opposite sex.,The other person is quite attractive.,1
 It is okay to be uncomfortable with your partner spending time with a member of the opposite sex.,It is their sibling,0
 It is okay to be uncomfortable with your partner spending time with a member of the opposite sex.,You think they would cheat on you,1
 It is okay to be uncomfortable with your partner spending time with a member of the opposite sex.,You and your partner are both 100 percent gay.,0
 It is okay to be uncomfortable with your partner spending time with a member of the opposite sex.,Your partner is alone at night with this other person on so-called business trips.,1
 It is okay to be uncomfortable with your partner spending time with a member of the opposite sex.,they are related.,0
 It is okay to be uncomfortable with your partner spending time with a member of the opposite sex.,they have had an intimate relationship in the past.,1
 It is okay to have friends your partner does not like.,Your friends are abusing or hurting your partner.,0
 It is okay to have friends your partner does not like.,Your partner doesn't like your friends based on their interests.,1
 It is okay to have friends your partner does not like.,They are always at your house.,0
 It is okay to have friends your partner does not like.,They live far away from your partner.,1
 It is okay to have friends your partner does not like.,Those friends are into illegal drugs,0
 It is okay to have friends your partner does not like.,Those friends are trying to like your partner,1
 It is okay to have friends your partner does not like.,Unless they are undermining your relationship.,0
 It is okay to have friends your partner does not like.,Especially if your partner is trying to underme your friendship.,1
 It is okay to have friends your partner does not like.,those friends are rude yo your partner,0
 It is okay to have friends your partner does not like.,they do not bother your partner personally.,1
 It is okay to avoid controversial topics,You are in counseling with your partner and the topic needs to be addressed.,0
 It is okay to avoid controversial topics,You know it is going to cause a fight.,1
 It is okay to avoid controversial topics,You're working in the field of counseling.,0
 It is okay to avoid controversial topics,You're talking to children.,1
 It is okay to avoid controversial topics,you feel morally obligated to correct someones incorrect statements.,0
 It is okay to avoid controversial topics,you are trying to keep the peace in a tense situation.,1
 It is okay to avoid controversial topics,You are in a televised political debate.,0
 It is okay to avoid controversial topics,You are eating Thanksgiving dinner with family.,1
 It is okay to avoid controversial topics,you are involved in a debate.,0
 It is okay to avoid controversial topics,they cause arguments.,1
 You should spend time with your partner.,you have to go to the doctor,0
 You should spend time with your partner.,you both had plans to go out,1
 You should spend time with your partner.,You're temporarily working overseas.,0
 You should spend time with your partner.,Your partner keeps planning date nights for the two of you.,1
 You should spend time with your partner.,They don't shower after working construction all day.,0
 You should spend time with your partner.,You only get a couple of hours a day to see each other,1
 You should spend time with your partner.,they are abusive.,0
 You should spend time with your partner.,they don't ask for much.,1
 You should spend time with your partner.,You think you don’t love them anymore,0
 You should spend time with your partner.,You want to marry them someday,1
 It's good to invite others over to eat.,You plan on poisoning the food.,0
 It's good to invite others over to eat.,Your friends are hungry.,1
 It's good to invite others over to eat.,You are a terrible cook.,0
 It's good to invite others over to eat.,You enjoy hosting dinner parties.,1
 It's good to invite others over to eat.,you have anxiety eating in front of others.,0
 It's good to invite others over to eat.,you enjoy cooking.,1
 It's good to invite others over to eat.,It's your anniversary.,0
 It's good to invite others over to eat.,You're watching the Superbowl.,1
 It's good to invite others over to eat.,You have a one on one date planned with your partner.,0
 It's good to invite others over to eat.,You are throwing a housewarming party.,1
 It is understandable to have an emotional connection to a possession.,the possession was a part of an important part of your life,1
 It is understandable to have an emotional connection to a possession.,it is a common disposable item.,0
 It is understandable to have an emotional connection to a possession.,it is a rare family heirloom.,1
 It is understandable to have an emotional connection to a possession.,That possession is garbage.,0
 It is understandable to have an emotional connection to a possession.,It is a family heirloom.,1
 It is understandable to have an emotional connection to a possession.,That possession is brand new and you just bought it.,0
 It is understandable to have an emotional connection to a possession.,Someone important gave you the possession.,1
 It is understandable to have an emotional connection to a possession.,it belonged to a deceased family member.,1
 You should accept your friends for who they are.,They are malignant narcissists.,0
 You should accept your friends for who they are.,Your friends are kind and accepting to you.,1
 You should accept your friends for who they are.,Your friends are evil.,0
 You should accept your friends for who they are.,You want to build trusting relationships.,1
 You should accept your friends for who they are.,they are putting on an act.,0
 You should accept your friends for who they are.,you want to be a good friend.,1
 You should accept your friends for who they are.,the are awful people.,0
 You should accept your friends for who they are.,the accept you.,1
 You should accept your friends for who they are.,they have some bad qualities.,0
 You should accept your friends for who they are.,they are good people and work on improving their flaws.,1
 It's ok to end relationships due to lies.,The person was trying to surprise you with something.,0
 It's ok to end relationships due to lies.,They cheated on you.,1
 It's ok to end relationships due to lies.,They cheated you,1
 It's ok to end relationships due to lies.,you want to try again.,0
 It's ok to end relationships due to lies.,you don't remember what the truth is.,1
 It's ok to end relationships due to lies.,The lies were to hide a gift.,0
 It's ok to end relationships due to lies.,The lies were about infidelity.,1
 It's ok to end relationships due to lies.,Unless they were someone else's lies.,0
 It's ok to end relationships due to lies.,Especially if they were your partners lies.,1
 Is it okay to set limits on who stays in your home.,they are your child,0
 Is it okay to set limits on who stays in your home.,your relatives are freeloaders,1
 Is it okay to set limits on who stays in your home.,Unless it's not just your home.,0
 Is it okay to set limits on who stays in your home.,Especially if you pay all the bills.,1
 Is it okay to set limits on who stays in your home.,You're renting rooms through Airbnb and you have an agent that handles everything.,0
 Is it okay to set limits on who stays in your home.,You don't trust some of your children's friends.,1
 Is it okay to set limits on who stays in your home.,you are not the owner of it.,0
 Is it okay to set limits on who stays in your home.,there is really not much room left.,1
 Is it okay to set limits on who stays in your home.,You run a homeless shelter,0
 Is it okay to set limits on who stays in your home.,You have kids who all want to have sleepovers,1
 You shouldn't hound your family.,you need an answer from them immediately regarding a vacation.,0
 You shouldn't hound your family.,they have asked you to not hound them several time.,1
 You shouldn't hound your family.,They are cutting classes.,0
 You shouldn't hound your family.,It's something that isn't any of your concern.,1
 You shouldn't hound your family.,Your family owes you a lot of money,0
 You shouldn't hound your family.,Your family always tries to be helpful when they can.,1
 You shouldn't hound your family.,you know something is being kept from you.,0
 You shouldn't hound your family.,you want your family to respect you.,1
 You shouldn't hound your family.,They owe you several thousand dollars.,0
 You shouldn't hound your family.,They own a large gun collection.,1
 It's petty to act in a juvenile manner towards a friend in retaliation for them previously acting that way.,It's the only way the friend will understand the lesson you're trying to teach them about their behavior.,0
 It's petty to act in a juvenile manner towards a friend in retaliation for them previously acting that way.,Your friend has apologized since and the relationship is moving on.,1
 It's petty to act in a juvenile manner towards a friend in retaliation for them previously acting that way.,You are a juvenile.,0
 It's petty to act in a juvenile manner towards a friend in retaliation for them previously acting that way.,You are grown adults.,1
 It's petty to act in a juvenile manner towards a friend in retaliation for them previously acting that way.,You are immature and seek revenge on them.,0
 It's petty to act in a juvenile manner towards a friend in retaliation for them previously acting that way.,You are a mature adult who has forgiven them.,1
 It's petty to act in a juvenile manner towards a friend in retaliation for them previously acting that way.,You are 8 years old.,0
 It's petty to act in a juvenile manner towards a friend in retaliation for them previously acting that way.,You are over 30.,1
 It's petty to act in a juvenile manner towards a friend in retaliation for them previously acting that way.,"That is the only way you going get something across to them, do unto others goes both ways.",0
 It's petty to act in a juvenile manner towards a friend in retaliation for them previously acting that way.,You want to be taken seriously and not lower your standards.,1
 Dropping an overly intoxicated person off at the hospital is a caring thing to do.,It will get them in trouble with the police as well.,0
 Dropping an overly intoxicated person off at the hospital is a caring thing to do.,Their health is in jeopardy and not doing so could kill them.,1
 Dropping an overly intoxicated person off at the hospital is a caring thing to do.,The person doesn't have health insurance.,0
 Dropping an overly intoxicated person off at the hospital is a caring thing to do.,The person seems to have alcohol poisoning.,1
 Dropping an overly intoxicated person off at the hospital is a caring thing to do.,They don't have insurance.,0
 Dropping an overly intoxicated person off at the hospital is a caring thing to do.,They are unconscious.,1
 Dropping an overly intoxicated person off at the hospital is a caring thing to do.,You just dump them on the pavement.,0
 Dropping an overly intoxicated person off at the hospital is a caring thing to do.,You help them get checked in at the front desk.,1
 Dropping an overly intoxicated person off at the hospital is a caring thing to do.,They stabbed someone and will do it again.,0
 Dropping an overly intoxicated person off at the hospital is a caring thing to do.,They are a young student.,1
 It is rude to be annoyed by your partner when they are helping you.,they are being condescending.,0
 It is rude to be annoyed by your partner when they are helping you.,they are just trying to help you.,1
 It is rude to be annoyed by your partner when they are helping you.,The help is doing more harm than good.,0
 It is rude to be annoyed by your partner when they are helping you.,They are giving something up to help you.,1
 It is rude to be annoyed by your partner when they are helping you.,You have already told them to not help you,0
 It is rude to be annoyed by your partner when they are helping you.,Have not made it clear that you do not want their help at all,1
 It is rude to be annoyed by your partner when they are helping you.,Your partner is less knowlegdeable than you are.,0
 It is rude to be annoyed by your partner when they are helping you.,Your partner is familiar with the solution.,1
 It is rude to be annoyed by your partner when they are helping you.,They turned on the blender without the top.,0
 It is rude to be annoyed by your partner when they are helping you.,It is your anniversary.,1
 It's horrible to tell your parents that you hate them.,They abused you,0
 It's horrible to tell your parents that you hate them.,They didn’t do anything wrong,1
 It's horrible to tell your parents that you hate them.,Your parents stopped loving you.,0
 It's horrible to tell your parents that you hate them.,Your parents love you unconditionally.,1
 It's horrible to tell your parents that you hate them.,They did something horrible to your brother or sister.,0
 It's horrible to tell your parents that you hate them.,You don't really hate them but only want to say it to hurt them.,1
 It's horrible to tell your parents that you hate them.,They've been abusive to you.,0
